ENGLISH,ITALIAN,GERMAN,SLOVAK,RUSSIAN,HEBREW,SPANISH
SFX Volume,Volume Suoni,Geräuschlautstärke,Hlasitosť efektov,Громкость звука,עוצמת אפקטים,Volumen Sonido
Music Volume,Volume Musica,Musiklautstärke,Hlasitosť hudby,Громкость музыки,עוצמת מוזיקה,Volumen Musica
Credits,Riconoscimenti,Mitwirkende,Autory,Авторы,קרדיטים,Los Créditos
Options,Opzioni,Optionen,Nastavenia,Настройки,אפשרויות,Opciónes
Main Menu,Menù principale,Hauptmenü,Hlavná ponuka,Главное меню,תפריט ראשי,Menú Principal
Retry,Riprova,Nochmal versuchen,Skúsiť znovu,Повторить,נסה שוב, Reintenta
Game over,Hai perso,Game Over,Koniec hry,Конец игры,משחק נגמר,Fin Del Juego
Escape,Fuggi,Flucht,Odísť,Выход,בריחה,La Fuga
Play,Gioca,Spielen,Hrať,Играть,שחק,Juega
,,,,,,
ART,GRAFICA,GRAFIK,GRAFIKA,ГРАФИКА,אומנות,ARTES
ADDITIONAL ART,GRAFICA AGGIUNTIVA,WEITERE GRAFIKEN,DODATOČNÁ GRAFIKA,ДОП. ГРАФИКА,אומנות נוספת,ARTES ADICIONALES
PROGRAMMING,PROGRAMMAZIONE,PROGRAMMIERUNG,PROGRAMOVANIE,ПРОГРАММИРОВАНИЕ,תכנות,PROGRAMACIÓN
MANAGEMENT,COORDINAMENTO,KOORDINATION,VEDENIE,МЕНЕДЖМЕНТ,ניהול,DIRECCIÓN
SOUND,SONORO,AUDIO,ZVUK,ЗВУК,סאונד,SONIDO
ANIMATION,ANIMAZIONE,ANIMATION,ANIMÁCIA,АНИМАЦИЯ,אנימציה,ANIMACIÓN
,,,,,,
Controls,,Steuerung,Ovládanie,Управление,,Controles
WASD,WASD,WASD,WASD,WASD,,WASD
Arrow Keys,Frecce,Pfeiltasten,Šípky,Стрелки,,Teclas de Flecha
Scroll-wheel,Rotellina del mouse,Mausrad,Koliesko myši,Колесо мыши,,Rueda de Rollo
"""U"" and ""I""","""U"" e ""I""","""U"" und ""I""","""U"" a ""I""","""U"" и ""I""",,"""U"" y ""I"""
Keys to change lantern size,tasti per cambiare il raggio della lanterna,Tasten um die Größe der Laterne zu ändern,Tlačítka na zmenu veľkosti lampáša,Клавиши изменения размера света.,,Claves para cambiar el tamaño de la linterna.
Keep monsters out of your lantern range to keep your heartrate low,mantieni i mostri al di fuori del raggio della lanterna per mantenere il tuo battito lento,"Halte Monster aus der Reichweite deiner Laterne, um deinen Herzschlag niedrig zu halten","Drž monštrá mimo dosah svetla tvojho lampáša, aby sa ti nezvyšoval srdečný tep","Держите монстров вне света фонаря, чтобы поддерживать низкий уровень сердечных сокращений",,Mantenga a los monstruos fuera del alcance de su linterna para mantener baja su frecuencia cardíaca.
Collect fireflies by walking on them,Raccogli le lucciole raggiungendo la loro posizione,Sammle Glühwürmchen indem du sie berührst,"Zbieraj svetlušky tým, že prejdeš cez ne",Собирайте светлячков подходя к ним.,,Recolecta luciérnagas por caminando sobre ellas.
Your Score,,Deine Punktzahl,,Ваши очки,,
Resume,,Fortsetzen,,,,